Name ;Breed ;Color ;Height (cm) ;Weight (kg) ;Date of Birth
;;;;;
Bella ;Labrador ;Brown ;56;25;01.07.2013
;;;;;
Charlie ;Poodle ;Black ;43;23;16.09.2016
;;;;;
Lucy ;Chow Chow ;Brown ;46;22;25.08.2014
;;;;;
Cooper ;Schnauzer ;Gray ;49;17;11.12.2011
;;;;;
Max ;Labrador ;Black ;59;29;20.01.2017
;;;;;
Stella ;Chihuahua ;Tan ;18;2;20.04.2015
;;;;;
Bernie ;St. Bernard ;White ;77;74;27.02.2018
;;;;;
Daisy ;Labrador ;Yellow ;57;27;30.06.2012
;;;;;
Rocky ;Poodle ;White ;41;22;03.03.2017
;;;;;
Milo ;Chow Chow ;Red ;48;24;15.08.2016
;;;;;
Rex ;Schnauzer ;Black ;50;18;07.07.2015
;;;;;
Sadie ;Labrador ;Chocolate ;58;28;14.10.2014
;;;;;
Luna ;Chihuahua ;Black ;19;3;11.11.2018
;;;;;
Hank ;St. Bernard ;Brown ;75;72;12.05.2019
;;;;;
Buddy ;Labrador ;Yellow ;60;30;09.02.2013
;;;;;
Lily ;Poodle ;Brown ;45;20;04.01.2018
;;;;;
Duke ;Chow Chow ;Black ;47;23;18.03.2015
;;;;;
Oscar ;Schnauzer ;Gray ;51;19;02.12.2012
;;;;;
Zoe ;Labrador ;Black ;55;26;22.09.2016
;;;;;
Minnie ;Chihuahua ;White ;17;2;10.06.2020
;;;;;
Thor ;St. Bernard ;White ;78;76;06.04.2017
;;;;;
Sam ;Labrador ;Chocolate ;59;28;11.11.2014
;;;;;
Baxter ;Poodle ;Gray ;42;21;29.07.2018
;;;;;
Ruby ;Chow Chow ;Red ;49;22;27.02.2012
;;;;;
Teddy ;Schnauzer ;Black ;48;18;12.01.2014
;;;;;
Maggie ;Labrador ;Brown ;57;27;14.03.2017
;;;;;
Harley ;Chihuahua ;Tan ;19;3;05.12.2019
;;;;;
Zeus ;St. Bernard ;Brown ;80;78;19.06.2020
;;;;;
Ginger ;Labrador ;Yellow ;56;25;07.08.2016
;;;;;
Chloe ;Poodle ;White ;44;22;13.05.2015
;;;;;
Bear ;Chow Chow ;Brown ;46;21;25.01.2013
;;;;;
Finn ;Schnauzer ;Gray ;50;18;30.11.2017
;;;;;
Bruno ;Labrador ;Black ;58;28;26.10.2015
;;;;;
Peanut ;Chihuahua ;Brown ;17;3;20.02.2021
;;;;;
Tank ;St. Bernard ;White ;76;73;18.03.2016
;;;;;
Jack ;Labrador ;Yellow ;59;29;09.12.2018
;;;;;
Penny ;Poodle ;Brown ;43;21;04.04.2016
;;;;;
Moose ;Chow Chow ;Black ;48;23;21.08.2018
;;;;;
Toby ;Schnauzer ;Black ;49;17;12.09.2016
;;;;;
Willow ;Labrador ;Chocolate ;57;26;22.05.2015
;;;;;
Coco ;Chihuahua ;Black ;18;2;17.01.2017
;;;;;
Apollo ;St. Bernard ;Brown ;77;75;29.07.2015
;;;;;
Murphy ;Labrador ;Yellow ;58;27;06.09.2017
;;;;;
Piper ;Poodle ;White ;44;22;09.11.2017
;;;;;
Nala ;Chow Chow ;Red ;47;24;14.06.2014
;;;;;
Riley ;Schnauzer ;Gray ;51;19;30.04.2019
;;;;;
Archie ;Labrador ;Black ;59;28;05.10.2019
;;;;;
Sophie ;Chihuahua ;Tan ;18;2;15.03.2018
;;;;;
Buster ;St. Bernard ;White ;79;77;11.07.2018
;;;;;
